iter	Passed	Remaining
238	1267	4037
239	1272	4029
240	1276	4021
241	1281	4014
242	1286	4007
243	1290	3998
244	1295	3990
245	1300	3985
246	1305	3980
247	1310	3973
248	1315	3967
249	1320	3960
250	1324	3952
251	1329	3946
252	1334	3938
253	1338	3930
254	1343	3924
255	1347	3916
256	1351	3908
257	1356	3901
258	1361	3894
259	1365	3886
260	1369	3878
261	1374	3870
262	1378	3863
263	1383	3856
264	1387	3849
265	1392	3842
266	1397	3836
267	1402	3830
268	1407	3823
269	1411	3816
270	1416	3809
271	1420	3802
272	1425	3796
273	1429	3788
274	1434	3781
275	1438	3774
276	1443	3767
277	1448	3761
278	1452	3754
279	1457	3748
280	1462	3742
281	1467	3735
282	1471	3728
283	1476	3722
284	1481	3716
285	1485	3709
286	1490	3702
287	1494	3695
288	1499	3688
289	1503	3681
290	1508	3674
291	1512	3667
292	1517	3660
293	1522	3654
294	1526	3647
295	1530	3639
296	1534	3633
297	1539	3627
298	1544	3619
299	1548	3613
300	1556	3614
301	1561	3607
302	1565	3601
303	1570	3596
304	1575	3590
305	1580	3583
306	1585	3578
307	1589	3571
308	1593	3564
309	1598	3559
310	1603	3553
311	1608	3547
312	1613	3540
313	1618	3535
314	1622	3528
315	1627	3522
316	1632	3516
317	1636	3510
318	1641	3504
319	1646	3498
320	1651	3492
321	1655	3486
322	1660	3479
323	1664	3473
324	1669	3467
325	1674	3461
326	1678	3454
327	1683	3448
328	1688	3444
329	1693	3437
330	1698	3432
331	1703	3427
332	1707	3420
333	1712	3413
334	1717	3409
335	1722	3403
336	1726	3396
337	1731	3391
338	1736	3385
339	1740	3378
340	1747	3376
341	1751	3369
342	1755	3363
343	1760	3358
344	1765	3351
345	1770	3345
346	1775	3340
347	1779	3334
348	1783	3327
349	1788	3321
350	1791	3312
351	1796	3306
352	1800	3299
353	1805	3294
354	1810	3289
355	1815	3284
356	1820	3279
357	1825	3273
358	1829	3267
359	1834	3261
360	1839	3255
361	1844	3249
362	1848	3244
363	1853	3238
364	1858	3233
365	1863	3227
366	1868	3222
367	1873	3217
368	1878	3212
369	1882	3205
370	1887	3200
371	1893	3196
372	1897	3190
373	1902	3183
374	1907	3178
375	1911	3172
376	1915	3165
377	1920	3160
378	1925	3155
379	1929	3147
380	1933	3141
381	1939	3137
382	1945	3133
383	1949	3127
384	1954	3121
385	1958	3115
386	1963	3110
387	1968	3105
388	1973	3100
389	1978	3093
390	1982	3088
391	1987	3082
392	1992	3076
393	1997	3072
394	2002	3066
395	2006	3060
396	2011	3055
397	2016	3049
398	2021	3044
399	2026	3039
400	2031	3033
401	2035	3028
402	2040	3023
403	2045	3017
404	2051	3013
405	2055	3007
406	2060	3001
407	2065	2996
408	2069	2990
409	2074	2985
410	2078	2978
411	2083	2973
412	2088	2968
413	2093	2963
414	2098	2957
415	2102	2952
416	2107	2946
417	2111	2940
418	2124	2946
419	2143	2960
420	2159	2970
